city,year,weekofyear,week_start_date
sj,1990,18,1990-04-30
sj,1990,19,1990-05-07
sj,1990,20,1990-05-14
sj,1990,21,1990-05-21
sj,1990,22,1990-05-28
sj,1990,23,1990-06-04
sj,1990,24,1990-06-11
sj,1990,25,1990-06-18
sj,1990,26,1990-06-25
sj,1990,27,1990-07-02
sj,1990,28,1990-07-09
sj,1990,29,1990-07-16
sj,1990,30,1990-07-23
sj,1990,31,1990-07-30
sj,1990,32,1990-08-06
sj,1990,33,1990-08-13
sj,1990,34,1990-08-20
sj,1990,35,1990-08-27
sj,1990,36,1990-09-03
sj,1990,37,1990-09-10
sj,1990,38,1990-09-17
sj,1990,39,1990-09-24
sj,1990,40,1990-10-01
sj,1990,41,1990-10-08
sj,1990,42,1990-10-15
sj,1990,43,1990-10-22
sj,1990,44,1990-10-29
sj,1990,45,1990-11-05
sj,1990,46,1990-11-12
sj,1990,47,1990-11-19
sj,1990,48,1990-11-26
sj,1990,49,1990-12-03
sj,1990,50,1990-12-10
sj,1990,51,1990-12-17
sj,1990,52,1990-12-24
sj,1991,1,1991-01-01
sj,1991,2,1991-01-08
sj,1991,3,1991-01-15
sj,1991,4,1991-01-22
sj,1991,5,1991-01-29
sj,1991,6,1991-02-05
sj,1991,7,1991-02-12
sj,1991,8,1991-02-19
sj,1991,9,1991-02-26
sj,1991,10,1991-03-05
sj,1991,11,1991-03-12
sj,1991,12,1991-03-19
sj,1991,13,1991-03-26
sj,1991,14,1991-04-02
sj,1991,15,1991-04-09
sj,1991,16,1991-04-16
sj,1991,17,1991-04-23
sj,1991,18,1991-04-30
sj,1991,19,1991-05-07
sj,1991,20,1991-05-14
sj,1991,21,1991-05-21
sj,1991,22,1991-05-28
sj,1991,23,1991-06-04
sj,1991,24,1991-06-11
sj,1991,25,1991-06-18
sj,1991,26,1991-06-25
sj,1991,27,1991-07-02
sj,1991,28,1991-07-09
sj,1991,29,1991-07-16
sj,1991,30,1991-07-23
sj,1991,31,1991-07-30
sj,1991,32,1991-08-06
sj,1991,33,1991-08-13
sj,1991,34,1991-08-20
sj,1991,35,1991-08-27
sj,1991,36,1991-09-03
sj,1991,37,1991-09-10
sj,1991,38,1991-09-17
sj,1991,39,1991-09-24
sj,1991,40,1991-10-01
sj,1991,41,1991-10-08
sj,1991,42,1991-10-15
sj,1991,43,1991-10-22
sj,1991,44,1991-10-29
sj,1991,45,1991-11-05
sj,1991,46,1991-11-12
sj,1991,47,1991-11-19
sj,1991,48,1991-11-26
sj,1991,49,1991-12-03
sj,1991,50,1991-12-10
sj,1991,51,1991-12-17
sj,1991,52,1991-12-24
sj,1992,1,1992-01-01
sj,1992,2,1992-01-08
sj,1992,3,1992-01-15
sj,1992,4,1992-01-22
sj,1992,5,1992-01-29
sj,1992,6,1992-02-05
sj,1992,7,1992-02-12
sj,1992,8,1992-02-19
sj,1992,9,1992-02-26
sj,1992,10,1992-03-04
sj,1992,11,1992-03-11
sj,1992,12,1992-03-18
sj,1992,13,1992-03-25
sj,1992,14,1992-04-01
sj,1992,15,1992-04-08
sj,1992,16,1992-04-15
sj,1992,17,1992-04-22
sj,1992,18,1992-04-29
sj,1992,19,1992-05-06
sj,1992,20,1992-05-13
sj,1992,21,1992-05-20
sj,1992,22,1992-05-27
sj,1992,23,1992-06-03
sj,1992,24,1992-06-10
sj,1992,25,1992-06-17
sj,1992,26,1992-06-24
sj,1992,27,1992-07-01
sj,1992,28,1992-07-08
sj,1992,29,1992-07-15
sj,1992,30,1992-07-22
sj,1992,31,1992-07-29
sj,1992,32,1992-08-05
sj,1992,33,1992-08-12
sj,1992,34,1992-08-19
sj,1992,35,1992-08-26
sj,1992,36,1992-09-02
sj,1992,37,1992-09-09
sj,1992,38,1992-09-16
sj,1992,39,1992-09-23
sj,1992,40,1992-09-30
sj,1992,41,1992-10-07
sj,1992,42,1992-10-14
sj,1992,43,1992-10-21
sj,1992,44,1992-10-28
sj,1992,45,1992-11-04
sj,1992,46,1992-11-11
sj,1992,47,1992-11-18
sj,1992,48,1992-11-25
sj,1992,49,1992-12-02
sj,1992,50,1992-12-09
sj,1992,51,1992-12-16
sj,1992,52,1992-12-23
sj,1993,53,1993-01-01
sj,1993,1,1993-01-08
sj,1993,2,1993-01-15
sj,1993,3,1993-01-22
sj,1993,4,1993-01-29
sj,1993,5,1993-02-05
sj,1993,6,1993-02-12
sj,1993,7,1993-02-19
sj,1993,8,1993-02-26
sj,1993,9,1993-03-05
sj,1993,10,1993-03-12
sj,1993,11,1993-03-19
sj,1993,12,1993-03-26
sj,1993,13,1993-04-02
sj,1993,14,1993-04-09
sj,1993,15,1993-04-16
sj,1993,16,1993-04-23
sj,1993,17,1993-04-30
sj,1993,18,1993-05-07
sj,1993,19,1993-05-14
sj,1993,20,1993-05-21
sj,1993,21,1993-05-28
sj,1993,22,1993-06-04
sj,1993,23,1993-06-11
sj,1993,24,1993-06-18
sj,1993,25,1993-06-25
sj,1993,26,1993-07-02
sj,1993,27,1993-07-09
sj,1993,28,1993-07-16
sj,1993,29,1993-07-23
sj,1993,30,1993-07-30
sj,1993,31,1993-08-06
sj,1993,32,1993-08-13
sj,1993,33,1993-08-20
sj,1993,34,1993-08-27
sj,1993,35,1993-09-03
sj,1993,36,1993-09-10
sj,1993,37,1993-09-17
sj,1993,38,1993-09-24
sj,1993,39,1993-10-01
sj,1993,40,1993-10-08
sj,1993,41,1993-10-15
sj,1993,42,1993-10-22
sj,1993,43,1993-10-29
sj,1993,44,1993-11-05
sj,1993,45,1993-11-12
sj,1993,46,1993-11-19
sj,1993,47,1993-11-26
sj,1993,48,1993-12-03
sj,1993,49,1993-12-10
sj,1993,50,1993-12-17
sj,1993,51,1993-12-24
sj,1994,52,1994-01-01
sj,1994,1,1994-01-08
sj,1994,2,1994-01-15
sj,1994,3,1994-01-22
sj,1994,4,1994-01-29
sj,1994,5,1994-02-05
sj,1994,6,1994-02-12
sj,1994,7,1994-02-19
sj,1994,8,1994-02-26
sj,1994,9,1994-03-05
sj,1994,10,1994-03-12
sj,1994,11,1994-03-19
sj,1994,12,1994-03-26
sj,1994,13,1994-04-02
sj,1994,14,1994-04-09
sj,1994,15,1994-04-16
sj,1994,16,1994-04-23
sj,1994,17,1994-04-30
sj,1994,18,1994-05-07
sj,1994,19,1994-05-14
sj,1994,20,1994-05-21
sj,1994,21,1994-05-28
sj,1994,22,1994-06-04
sj,1994,23,1994-06-11
sj,1994,24,1994-06-18
sj,1994,25,1994-06-25
sj,1994,26,1994-07-02
sj,1994,27,1994-07-09
sj,1994,28,1994-07-16
sj,1994,29,1994-07-23
sj,1994,30,1994-07-30
sj,1994,31,1994-08-06
sj,1994,32,1994-08-13
sj,1994,33,1994-08-20
sj,1994,34,1994-08-27
sj,1994,35,1994-09-03
sj,1994,36,1994-09-10
sj,1994,37,1994-09-17
sj,1994,38,1994-09-24
sj,1994,39,1994-10-01
sj,1994,40,1994-10-08
sj,1994,41,1994-10-15
sj,1994,42,1994-10-22
sj,1994,43,1994-10-29
sj,1994,44,1994-11-05
sj,1994,45,1994-11-12
sj,1994,46,1994-11-19
sj,1994,47,1994-11-26
sj,1994,48,1994-12-03
sj,1994,49,1994-12-10
sj,1994,50,1994-12-17
sj,1994,51,1994-12-24
sj,1995,52,1995-01-01
sj,1995,1,1995-01-08
sj,1995,2,1995-01-15
sj,1995,3,1995-01-22
sj,1995,4,1995-01-29
sj,1995,5,1995-02-05
sj,1995,6,1995-02-12
sj,1995,7,1995-02-19
sj,1995,8,1995-02-26
sj,1995,9,1995-03-05
sj,1995,10,1995-03-12
sj,1995,11,1995-03-19
sj,1995,12,1995-03-26
sj,1995,13,1995-04-02
sj,1995,14,1995-04-09
sj,1995,15,1995-04-16
sj,1995,16,1995-04-23
sj,1995,17,1995-04-30
sj,1995,18,1995-05-07
sj,1995,19,1995-05-14
sj,1995,20,1995-05-21
sj,1995,21,1995-05-28
sj,1995,22,1995-06-04
sj,1995,23,1995-06-11
sj,1995,24,1995-06-18
sj,1995,25,1995-06-25
sj,1995,26,1995-07-02
sj,1995,27,1995-07-09
sj,1995,28,1995-07-16
sj,1995,29,1995-07-23
sj,1995,30,1995-07-30
sj,1995,31,1995-08-06
sj,1995,32,1995-08-13
sj,1995,33,1995-08-20
sj,1995,34,1995-08-27
sj,1995,35,1995-09-03
sj,1995,36,1995-09-10
sj,1995,37,1995-09-17
sj,1995,38,1995-09-24
sj,1995,39,1995-10-01
sj,1995,40,1995-10-08
sj,1995,41,1995-10-15
sj,1995,42,1995-10-22
sj,1995,43,1995-10-29
sj,1995,44,1995-11-05
sj,1995,45,1995-11-12
sj,1995,46,1995-11-19
sj,1995,47,1995-11-26
sj,1995,48,1995-12-03
sj,1995,49,1995-12-10
sj,1995,50,1995-12-17
sj,1995,51,1995-12-24
sj,1996,1,1996-01-01
sj,1996,2,1996-01-08
sj,1996,3,1996-01-15
sj,1996,4,1996-01-22
sj,1996,5,1996-01-29
sj,1996,6,1996-02-05
sj,1996,7,1996-02-12
sj,1996,8,1996-02-19
sj,1996,9,1996-02-26
sj,1996,10,1996-03-04
sj,1996,11,1996-03-11
sj,1996,12,1996-03-18
sj,1996,13,1996-03-25
sj,1996,14,1996-04-01
sj,1996,15,1996-04-08
sj,1996,16,1996-04-15
sj,1996,17,1996-04-22
sj,1996,18,1996-04-29
sj,1996,19,1996-05-06
sj,1996,20,1996-05-13
sj,1996,21,1996-05-20
sj,1996,22,1996-05-27
sj,1996,23,1996-06-03
sj,1996,24,1996-06-10
sj,1996,25,1996-06-17
sj,1996,26,1996-06-24
sj,1996,27,1996-07-01
sj,1996,28,1996-07-08
sj,1996,29,1996-07-15
sj,1996,30,1996-07-22
sj,1996,31,1996-07-29
sj,1996,32,1996-08-05
sj,1996,33,1996-08-12
sj,1996,34,1996-08-19
sj,1996,35,1996-08-26
sj,1996,36,1996-09-02
sj,1996,37,1996-09-09
sj,1996,38,1996-09-16
sj,1996,39,1996-09-23
sj,1996,40,1996-09-30
sj,1996,41,1996-10-07
sj,1996,42,1996-10-14
sj,1996,43,1996-10-21
sj,1996,44,1996-10-28
sj,1996,45,1996-11-04
sj,1996,46,1996-11-11
sj,1996,47,1996-11-18
sj,1996,48,1996-11-25
sj,1996,49,1996-12-02
sj,1996,50,1996-12-09
sj,1996,51,1996-12-16
sj,1996,52,1996-12-23
sj,1997,1,1997-01-01
sj,1997,2,1997-01-08
sj,1997,3,1997-01-15
sj,1997,4,1997-01-22
sj,1997,5,1997-01-29
sj,1997,6,1997-02-05
sj,1997,7,1997-02-12
sj,1997,8,1997-02-19
sj,1997,9,1997-02-26
sj,1997,10,1997-03-05
sj,1997,11,1997-03-12
sj,1997,12,1997-03-19
sj,1997,13,1997-03-26
sj,1997,14,1997-04-02
sj,1997,15,1997-04-09
sj,1997,16,1997-04-16
sj,1997,17,1997-04-23
sj,1997,18,1997-04-30
sj,1997,19,1997-05-07
sj,1997,20,1997-05-14
sj,1997,21,1997-05-21
sj,1997,22,1997-05-28
sj,1997,23,1997-06-04
sj,1997,24,1997-06-11
sj,1997,25,1997-06-18
sj,1997,26,1997-06-25
sj,1997,27,1997-07-02
sj,1997,28,1997-07-09
sj,1997,29,1997-07-16
sj,1997,30,1997-07-23
sj,1997,31,1997-07-30
sj,1997,32,1997-08-06
sj,1997,33,1997-08-13
sj,1997,34,1997-08-20
sj,1997,35,1997-08-27
sj,1997,36,1997-09-03
sj,1997,37,1997-09-10
sj,1997,38,1997-09-17
sj,1997,39,1997-09-24
sj,1997,40,1997-10-01
sj,1997,41,1997-10-08
sj,1997,42,1997-10-15
sj,1997,43,1997-10-22
sj,1997,44,1997-10-29
sj,1997,45,1997-11-05
sj,1997,46,1997-11-12
sj,1997,47,1997-11-19
sj,1997,48,1997-11-26
sj,1997,49,1997-12-03
sj,1997,50,1997-12-10
sj,1997,51,1997-12-17
sj,1997,52,1997-12-24
sj,1998,1,1998-01-01
sj,1998,2,1998-01-08
sj,1998,3,1998-01-15
sj,1998,4,1998-01-22
sj,1998,5,1998-01-29
sj,1998,6,1998-02-05
sj,1998,7,1998-02-12
sj,1998,8,1998-02-19
sj,1998,9,1998-02-26
sj,1998,10,1998-03-05
sj,1998,11,1998-03-12
sj,1998,12,1998-03-19
sj,1998,13,1998-03-26
sj,1998,14,1998-04-02
sj,1998,15,1998-04-09
sj,1998,16,1998-04-16
sj,1998,17,1998-04-23
sj,1998,18,1998-04-30
sj,1998,19,1998-05-07
sj,1998,20,1998-05-14
sj,1998,21,1998-05-21
sj,1998,22,1998-05-28
sj,1998,23,1998-06-04
sj,1998,24,1998-06-11
sj,1998,25,1998-06-18
sj,1998,26,1998-06-25
sj,1998,27,1998-07-02
sj,1998,28,1998-07-09
sj,1998,29,1998-07-16
sj,1998,30,1998-07-23
sj,1998,31,1998-07-30
sj,1998,32,1998-08-06
sj,1998,33,1998-08-13
sj,1998,34,1998-08-20
sj,1998,35,1998-08-27
sj,1998,36,1998-09-03
sj,1998,37,1998-09-10
sj,1998,38,1998-09-17
sj,1998,39,1998-09-24
sj,1998,40,1998-10-01
sj,1998,41,1998-10-08
sj,1998,42,1998-10-15
sj,1998,43,1998-10-22
sj,1998,44,1998-10-29
sj,1998,45,1998-11-05
sj,1998,46,1998-11-12
sj,1998,47,1998-11-19
sj,1998,48,1998-11-26
sj,1998,49,1998-12-03
sj,1998,50,1998-12-10
sj,1998,51,1998-12-17
sj,1998,52,1998-12-24
sj,1999,53,1999-01-01
sj,1999,1,1999-01-08
sj,1999,2,1999-01-15
sj,1999,3,1999-01-22
sj,1999,4,1999-01-29
sj,1999,5,1999-02-05
sj,1999,6,1999-02-12
sj,1999,7,1999-02-19
sj,1999,8,1999-02-26
sj,1999,9,1999-03-05
sj,1999,10,1999-03-12
sj,1999,11,1999-03-19
sj,1999,12,1999-03-26
sj,1999,13,1999-04-02
sj,1999,14,1999-04-09
sj,1999,15,1999-04-16
sj,1999,16,1999-04-23
sj,1999,17,1999-04-30
sj,1999,18,1999-05-07
sj,1999,19,1999-05-14
sj,1999,20,1999-05-21
sj,1999,21,1999-05-28
sj,1999,22,1999-06-04
sj,1999,23,1999-06-11
sj,1999,24,1999-06-18
sj,1999,25,1999-06-25
sj,1999,26,1999-07-02
sj,1999,27,1999-07-09
sj,1999,28,1999-07-16
sj,1999,29,1999-07-23
sj,1999,30,1999-07-30
sj,1999,31,1999-08-06
sj,1999,32,1999-08-13
sj,1999,33,1999-08-20
sj,1999,34,1999-08-27
sj,1999,35,1999-09-03
sj,1999,36,1999-09-10
sj,1999,37,1999-09-17
sj,1999,38,1999-09-24
sj,1999,39,1999-10-01
sj,1999,40,1999-10-08
sj,1999,41,1999-10-15
sj,1999,42,1999-10-22
sj,1999,43,1999-10-29
sj,1999,44,1999-11-05
sj,1999,45,1999-11-12
sj,1999,46,1999-11-19
sj,1999,47,1999-11-26
sj,1999,48,1999-12-03
sj,1999,49,1999-12-10
sj,1999,50,1999-12-17
sj,1999,51,1999-12-24
sj,2000,52,2000-01-01
sj,2000,1,2000-01-08
sj,2000,2,2000-01-15
sj,2000,3,2000-01-22
sj,2000,4,2000-01-29
sj,2000,5,2000-02-05
sj,2000,6,2000-02-12
sj,2000,7,2000-02-19
sj,2000,8,2000-02-26
sj,2000,9,2000-03-04
sj,2000,10,2000-03-11
sj,2000,11,2000-03-18
sj,2000,12,2000-03-25
sj,2000,13,2000-04-01
sj,2000,14,2000-04-08
sj,2000,15,2000-04-15
sj,2000,16,2000-04-22
sj,2000,17,2000-04-29
sj,2000,18,2000-05-06
sj,2000,19,2000-05-13
sj,2000,20,2000-05-20
sj,2000,21,2000-05-27
sj,2000,22,2000-06-03
sj,2000,23,2000-06-10
sj,2000,24,2000-06-17
sj,2000,25,2000-06-24
sj,2000,26,2000-07-01
sj,2000,27,2000-07-08
sj,2000,28,2000-07-15
sj,2000,29,2000-07-22
sj,2000,30,2000-07-29
sj,2000,31,2000-08-05
sj,2000,32,2000-08-12
sj,2000,33,2000-08-19
sj,2000,34,2000-08-26
sj,2000,35,2000-09-02
sj,2000,36,2000-09-09
sj,2000,37,2000-09-16
sj,2000,38,2000-09-23
sj,2000,39,2000-09-30
sj,2000,40,2000-10-07
sj,2000,41,2000-10-14
sj,2000,42,2000-10-21
sj,2000,43,2000-10-28
sj,2000,44,2000-11-04
sj,2000,45,2000-11-11
sj,2000,46,2000-11-18
sj,2000,47,2000-11-25
sj,2000,48,2000-12-02
sj,2000,49,2000-12-09
sj,2000,50,2000-12-16
sj,2000,51,2000-12-23
sj,2001,1,2001-01-01
sj,2001,2,2001-01-08
sj,2001,3,2001-01-15
sj,2001,4,2001-01-22
sj,2001,5,2001-01-29
sj,2001,6,2001-02-05
sj,2001,7,2001-02-12
sj,2001,8,2001-02-19
sj,2001,9,2001-02-26
sj,2001,10,2001-03-05
sj,2001,11,2001-03-12
sj,2001,12,2001-03-19
sj,2001,13,2001-03-26
sj,2001,14,2001-04-02
sj,2001,15,2001-04-09
sj,2001,16,2001-04-16
sj,2001,17,2001-04-23
sj,2001,18,2001-04-30
sj,2001,19,2001-05-07
sj,2001,20,2001-05-14
sj,2001,21,2001-05-21
sj,2001,22,2001-05-28
sj,2001,23,2001-06-04
sj,2001,24,2001-06-11
sj,2001,25,2001-06-18
sj,2001,26,2001-06-25
sj,2001,27,2001-07-02
sj,2001,28,2001-07-09
sj,2001,29,2001-07-16
sj,2001,30,2001-07-23
sj,2001,31,2001-07-30
sj,2001,32,2001-08-06
sj,2001,33,2001-08-13
sj,2001,34,2001-08-20
sj,2001,35,2001-08-27
sj,2001,36,2001-09-03
sj,2001,37,2001-09-10
sj,2001,38,2001-09-17
sj,2001,39,2001-09-24
sj,2001,40,2001-10-01
sj,2001,41,2001-10-08
sj,2001,42,2001-10-15
sj,2001,43,2001-10-22
sj,2001,44,2001-10-29
sj,2001,45,2001-11-05
sj,2001,46,2001-11-12
sj,2001,47,2001-11-19
sj,2001,48,2001-11-26
sj,2001,49,2001-12-03
sj,2001,50,2001-12-10
sj,2001,51,2001-12-17
sj,2001,52,2001-12-24
sj,2002,1,2002-01-01
sj,2002,2,2002-01-08
sj,2002,3,2002-01-15
sj,2002,4,2002-01-22
sj,2002,5,2002-01-29
sj,2002,6,2002-02-05
sj,2002,7,2002-02-12
sj,2002,8,2002-02-19
sj,2002,9,2002-02-26
sj,2002,10,2002-03-05
sj,2002,11,2002-03-12
sj,2002,12,2002-03-19
sj,2002,13,2002-03-26
sj,2002,14,2002-04-02
sj,2002,15,2002-04-09
sj,2002,16,2002-04-16
sj,2002,17,2002-04-23
sj,2002,18,2002-04-30
sj,2002,19,2002-05-07
sj,2002,20,2002-05-14
sj,2002,21,2002-05-21
sj,2002,22,2002-05-28
sj,2002,23,2002-06-04
sj,2002,24,2002-06-11
sj,2002,25,2002-06-18
sj,2002,26,2002-06-25
sj,2002,27,2002-07-02
sj,2002,28,2002-07-09
sj,2002,29,2002-07-16
sj,2002,30,2002-07-23
sj,2002,31,2002-07-30
sj,2002,32,2002-08-06
sj,2002,33,2002-08-13
sj,2002,34,2002-08-20
sj,2002,35,2002-08-27
sj,2002,36,2002-09-03
sj,2002,37,2002-09-10
sj,2002,38,2002-09-17
sj,2002,39,2002-09-24
sj,2002,40,2002-10-01
sj,2002,41,2002-10-08
sj,2002,42,2002-10-15
sj,2002,43,2002-10-22
sj,2002,44,2002-10-29
sj,2002,45,2002-11-05
sj,2002,46,2002-11-12
sj,2002,47,2002-11-19
sj,2002,48,2002-11-26
sj,2002,49,2002-12-03
sj,2002,50,2002-12-10
sj,2002,51,2002-12-17
sj,2002,52,2002-12-24
sj,2003,1,2003-01-01
sj,2003,2,2003-01-08
sj,2003,3,2003-01-15
sj,2003,4,2003-01-22
sj,2003,5,2003-01-29
sj,2003,6,2003-02-05
sj,2003,7,2003-02-12
sj,2003,8,2003-02-19
sj,2003,9,2003-02-26
sj,2003,10,2003-03-05
sj,2003,11,2003-03-12
sj,2003,12,2003-03-19
sj,2003,13,2003-03-26
sj,2003,14,2003-04-02
sj,2003,15,2003-04-09
sj,2003,16,2003-04-16
sj,2003,17,2003-04-23
sj,2003,18,2003-04-30
sj,2003,19,2003-05-07
sj,2003,20,2003-05-14
sj,2003,21,2003-05-21
sj,2003,22,2003-05-28
sj,2003,23,2003-06-04
sj,2003,24,2003-06-11
sj,2003,25,2003-06-18
sj,2003,26,2003-06-25
sj,2003,27,2003-07-02
sj,2003,28,2003-07-09
sj,2003,29,2003-07-16
sj,2003,30,2003-07-23
sj,2003,31,2003-07-30
sj,2003,32,2003-08-06
sj,2003,33,2003-08-13
sj,2003,34,2003-08-20
sj,2003,35,2003-08-27
sj,2003,36,2003-09-03
sj,2003,37,2003-09-10
sj,2003,38,2003-09-17
sj,2003,39,2003-09-24
sj,2003,40,2003-10-01
sj,2003,41,2003-10-08
sj,2003,42,2003-10-15
sj,2003,43,2003-10-22
sj,2003,44,2003-10-29
sj,2003,45,2003-11-05
sj,2003,46,2003-11-12
sj,2003,47,2003-11-19
sj,2003,48,2003-11-26
sj,2003,49,2003-12-03
sj,2003,50,2003-12-10
sj,2003,51,2003-12-17
sj,2003,52,2003-12-24
sj,2004,1,2004-01-01
sj,2004,2,2004-01-08
sj,2004,3,2004-01-15
sj,2004,4,2004-01-22
sj,2004,5,2004-01-29
sj,2004,6,2004-02-05
sj,2004,7,2004-02-12
sj,2004,8,2004-02-19
sj,2004,9,2004-02-26
sj,2004,10,2004-03-04
sj,2004,11,2004-03-11
sj,2004,12,2004-03-18
sj,2004,13,2004-03-25
sj,2004,14,2004-04-01
sj,2004,15,2004-04-08
sj,2004,16,2004-04-15
